( 2021-01-10 14:24:35 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: Invalid callback CloudStore\App\Engine\ActiveRecord\Tables\Tracker::exceptionHandler, cannot access protected method CloudStore\App\Engine\ActiveRecord\Tables\Tracker::exceptionHandler(); Файл: Unknown; Строка: 0Доп.сведения: [todo]
( 2021-01-10 14:24:35 (MSK) ) Сработала функция fatalErrorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 4; Информация об ошибке: syntax error, unexpected ']'; Файл: D:\Google Drive\Programming\Projects\Local\modware.ru\app\mvc\admin\models\ModelAdmin.php; Строка: 60Доп.сведения: [todo]
( 2021-01-10 14:25:35 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: Invalid callback CloudStore\App\Engine\ActiveRecord\Tables\Tracker::exceptionHandler, cannot access protected method CloudStore\App\Engine\ActiveRecord\Tables\Tracker::exceptionHandler(); Файл: Unknown; Строка: 0Доп.сведения: [todo]
( 2021-01-10 14:25:35 (MSK) ) Сработала функция fatalErrorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 4; Информация об ошибке: syntax error, unexpected ']'; Файл: D:\Google Drive\Programming\Projects\Local\modware.ru\app\mvc\admin\models\ModelAdmin.php; Строка: 60Доп.сведения: [todo]
( 2021-01-10 14:26:35 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: Invalid callback CloudStore\App\Engine\ActiveRecord\Tables\Tracker::exceptionHandler, cannot access protected method CloudStore\App\Engine\ActiveRecord\Tables\Tracker::exceptionHandler(); Файл: Unknown; Строка: 0Доп.сведения: [todo]
( 2021-01-10 14:26:35 (MSK) ) Сработала функция fatalErrorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 4; Информация об ошибке: syntax error, unexpected ']'; Файл: D:\Google Drive\Programming\Projects\Local\modware.ru\app\mvc\admin\models\ModelAdmin.php; Строка: 60Доп.сведения: [todo]
( 2021-01-10 15:08:37 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: Invalid callback CloudStore\App\Engine\ActiveRecord\Tables\Context::exceptionHandler, cannot access protected method CloudStore\App\Engine\ActiveRecord\Tables\Context::exceptionHandler(); Файл: Unknown; Строка: 0Доп.сведения: [todo]
( 2021-01-10 15:08:37 (MSK) ) Сработала функция fatalErrorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 4; Информация об ошибке: syntax error, unexpected ']'; Файл: D:\Google Drive\Programming\Projects\Local\modware.ru\app\mvc\admin\controllers\ControllerAuth.php; Строка: 65Доп.сведения: [todo]
( 2021-01-10 15:25:47 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 8; Информация об ошибке: Undefined index: admin; Файл: D:\Google Drive\Programming\Projects\Local\modware.ru\app\engine\core\System.php; Строка: 90Доп.сведения: [todo]
( 2021-01-10 15:25:48 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 8; Информация об ошибке: Undefined index: admin; Файл: D:\Google Drive\Programming\Projects\Local\modware.ru\app\engine\core\System.php; Строка: 90Доп.сведения: [todo]
( 2021-01-10 15:25:49 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 8; Информация об ошибке: Undefined index: admin; Файл: D:\Google Drive\Programming\Projects\Local\modware.ru\app\engine\core\System.php; Строка: 90Доп.сведения: [todo]
( 2021-01-10 15:25:49 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 8; Информация об ошибке: Undefined index: admin; Файл: D:\Google Drive\Programming\Projects\Local\modware.ru\app\engine\core\System.php; Строка: 90Доп.сведения: [todo]
( 2021-01-11 21:19:27 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: Attempt to assign property 'content' of non-object; Файл: D:\Google Drive\Programming\Projects\Local\modware.ru\app\engine\core\PageBuilder.php; Строка: 86Доп.сведения: [todo]
( 2021-01-11 21:20:21 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: Attempt to assign property 'content' of non-object; Файл: D:\Google Drive\Programming\Projects\Local\modware.ru\app\engine\core\PageBuilder.php; Строка: 86Доп.сведения: [todo]
( 2021-01-11 21:21:45 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: Attempt to assign property 'content' of non-object; Файл: D:\Google Drive\Programming\Projects\Local\modware.ru\app\engine\core\PageBuilder.php; Строка: 86Доп.сведения: [todo]
( 2021-01-11 21:22:16 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: Attempt to assign property 'content' of non-object; Файл: D:\Google Drive\Programming\Projects\Local\modware.ru\app\engine\core\PageBuilder.php; Строка: 86Доп.сведения: [todo]
