( 2021-04-12 14:05:27 (UTC) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: Invalid callback Jet\App\Database\Context::exceptionHandler, cannot access protected method Jet\App\Database\Context::exceptionHandler(); Файл: Unknown; Строка: 0Доп.сведения: [todo]
( 2021-04-12 14:05:27 (UTC) ) Сработала функция fatalErrorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 4; Информация об ошибке: syntax error, unexpected 'result' (T_STRING); Файл: D:\Google Drive\Programming\Projects\Local\modware.ru\dist\app\mvc\admin\models\ModelAdmin.php; Строка: 112Доп.сведения: [todo]
( 2021-04-12 14:06:39 (UTC) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: Invalid callback Jet\App\Database\Context::exceptionHandler, cannot access protected method Jet\App\Database\Context::exceptionHandler(); Файл: Unknown; Строка: 0Доп.сведения: [todo]
( 2021-04-12 14:06:39 (UTC) ) Сработала функция fatalErrorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 4; Информация об ошибке: syntax error, unexpected 'result' (T_STRING); Файл: D:\Google Drive\Programming\Projects\Local\modware.ru\dist\app\mvc\admin\models\ModelAdmin.php; Строка: 112Доп.сведения: [todo]
( 2021-04-12 14:07:39 (UTC) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: Invalid callback Jet\App\Database\Context::exceptionHandler, cannot access protected method Jet\App\Database\Context::exceptionHandler(); Файл: Unknown; Строка: 0Доп.сведения: [todo]
( 2021-04-12 14:07:39 (UTC) ) Сработала функция fatalErrorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 4; Информация об ошибке: syntax error, unexpected 'result' (T_STRING); Файл: D:\Google Drive\Programming\Projects\Local\modware.ru\dist\app\mvc\admin\models\ModelAdmin.php; Строка: 112Доп.сведения: [todo]
( 2021-04-12 14:08:39 (UTC) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: Invalid callback Jet\App\Database\Context::exceptionHandler, cannot access protected method Jet\App\Database\Context::exceptionHandler(); Файл: Unknown; Строка: 0Доп.сведения: [todo]
( 2021-04-12 14:08:39 (UTC) ) Сработала функция fatalErrorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 4; Информация об ошибке: syntax error, unexpected 'result' (T_STRING); Файл: D:\Google Drive\Programming\Projects\Local\modware.ru\dist\app\mvc\admin\models\ModelAdmin.php; Строка: 112Доп.сведения: [todo]
( 2021-04-12 16:35:39 (UTC) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 8; Информация об ошибке: Undefined property: Jet\App\Engine\Interfaces\ViewResponse::$status; Файл: D:\Google Drive\Programming\Projects\Local\modware.ru\dist\app\engine\core\Router.php; Строка: 199Доп.сведения: [todo]
( 2021-04-12 16:35:42 (UTC) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 8; Информация об ошибке: Undefined property: Jet\App\Engine\Interfaces\ViewResponse::$status; Файл: D:\Google Drive\Programming\Projects\Local\modware.ru\dist\app\engine\core\Router.php; Строка: 199Доп.сведения: [todo]
( 2021-04-12 16:35:43 (UTC) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 8; Информация об ошибке: Undefined property: Jet\App\Engine\Interfaces\ViewResponse::$status; Файл: D:\Google Drive\Programming\Projects\Local\modware.ru\dist\app\engine\core\Router.php; Строка: 199Доп.сведения: [todo]
